"Code","Description_Clean","Severity","Recommended_Action"
"73","Aantal verplichte velden die leeg zijn.","CRITICAL","Fix data to pass validation"
"74","Een waarde is te kort.","CRITICAL","Fix data to pass validation"
"75","Een waarde is te lang.","CRITICAL","Fix data to pass validation"
"76","Een waarde die uniek moet zijn, is een duplicaat (bijv. GTIN).","CRITICAL","Fix data to pass validation"
"77","Een waarde is niet numeriek.","CRITICAL","Fix data to pass validation"
"78","Velden die verkeerde symbolen of tekens bevatten.","CRITICAL","Fix data to pass validation"
"79","Een waarde heeft niet de correcte, exacte lengte.","CRITICAL","Fix data to pass validation"
"80","Een waarde komt niet voor in de bijbehorende referentielijst.","CRITICAL","Fix data to pass validation"
"81","Ongeldige CE Certificaat einddatum.","CRITICAL","Fix data to pass validation"
"82","Ongeldige CE Certificerende instantie.","CRITICAL","Fix data to pass validation"
"83","Fout in Brutoprijs (max digits overschrijding).","CRITICAL","Fix data to pass validation"
"84","Nettoprijs-veld ontbreekt.","CRITICAL","Fix data to pass validation"
"85","Fout in Nettoprijs (max digits overschrijding).","CRITICAL","Fix data to pass validation"
"86","Is BestelbareEenheid-veld ontbreekt.","CRITICAL","Fix data to pass validation"
"87","Is BestelbareEenheid-veld met ongeldige waarde.","CRITICAL","Fix data to pass validation"
"88","Is BasisEenheid-veld ontbreekt.","CRITICAL","Fix data to pass validation"
"89","Is BasisEenheid-veld met ongeldige waarde.","CRITICAL","Fix data to pass validation"
"90","Omschrijving Verpakkingseenheid-veld ontbreekt.","CRITICAL","Fix data to pass validation"
"91","Omschrijving Verpakkingseenheid-veld met te lange waarde.","CRITICAL","Fix data to pass validation"
"92","Een boolean-veld (JA/NEE) heeft een ongeldige waarde.","CRITICAL","Fix data to pass validation"
"93","Een door de gebruiker ingevulde waarde komt niet overeen met een berekende waarde (mismatch).","CRITICAL","Fix data to pass validation"
"94","Een veld moet alfanumeriek zijn.","CRITICAL","Fix data to pass validation"
"95","Een waarde heeft een ongeldig format (bijv. datum, URL, CAS).","CRITICAL","Fix data to pass validation"
"96","Een datum ligt vóór een andere datum waarmee het een logische relatie heeft.","CRITICAL","Fix data to pass validation"
"97","UOM-relatie fouten: velden die op zichzelf correct zijn maar in combinatie conflicteren.","CRITICAL","Fix data to pass validation"
